Record Length,20480
Sample Interval,CH1:0.0000200000016
Vertical Units,CH1:V,,
Vertical Scale,CH1:5.00,,
Vertical Offset,CH1:0.20000,,
Horizontal Units,s,,
Horizontal Scale,0.0250000000,,
Model Number,SDS1102CN,,
Serial Number,NEU00004121018,,
Software Version,3.01.01.31R17,,

Source,CH1
Second,Volt
-0.20480001563,-0.20000,
-0.20478001563,0.00,
-0.20476001563,0.00,
-0.20474001563,0.00,
-0.20472000000,0.00,
-0.20470001563,0.00,
-0.20468001563,0.00,
-0.20466001563,-0.20000,
-0.20464001563,0.00,
-0.20462000000,0.00,
-0.20460000000,-0.20000,
-0.20458001563,0.00,
-0.20456001563,0.00,
-0.20454001563,-0.20000,
-0.20452001563,0.00,
-0.20450000000,0.00,
-0.20448000000,0.00,
-0.20446001563,0.00,
-0.20444001563,0.00,
-0.20442001563,0.00,
-0.20440001563,0.00,
-0.20438000000,0.00,
-0.20436001563,0.00,
-0.20434001563,0.00,
-0.20432001563,0.00,
-0.20430001563,-0.20000,
-0.20428000000,0.00,
-0.20426000000,0.00,
-0.20424001563,0.00,
-0.20422001563,0.00,
-0.20420001563,0.00,
-0.20418001563,-0.20000,
-0.20416000000,0.00,
-0.20414000000,0.00,
-0.20412001563,0.00,
-0.20410001563,0.00,
-0.20408001563,0.00,
-0.20406001563,-0.20000,
-0.20404000000,0.00,
-0.20402001563,0.00,
-0.20400001563,0.00,
-0.20398001563,0.00,
-0.20396001563,0.00,
-0.20394000000,0.00,
-0.20392000000,0.00,
-0.20390001563,0.00,
-0.20388001563,0.00,
-0.20386001563,0.00,
-0.20384000000,0.00,
-0.20382000000,0.00,
-0.20380000000,0.00,
-0.20378001563,0.00,
-0.20376001563,-0.20000,
-0.20374001563,0.20000,
-0.20372000000,0.00,
-0.20370000000,0.00,
-0.20368001563,0.00,
-0.20366001563,0.00,
-0.20364001563,0.00,
-0.20362001563,0.00,
-0.20360000000,0.00,
-0.20358000000,0.00,
-0.20356001563,0.00,
-0.20354001563,-0.20000,
-0.20352001563,0.00,
-0.20350000000,0.00,
-0.20348000000,0.00,
-0.20346001563,0.00,
-0.20344001563,-0.20000,
-0.20342001563,0.00,
-0.20340001563,0.00,
-0.20338000000,-0.20000,
-0.20336000000,0.00,
-0.20334001563,-0.20000,
-0.20332001563,0.00,
-0.20330001563,0.00,
-0.20328000000,0.00,
-0.20326000000,-0.20000,
-0.20324000000,0.00,
-0.20322001563,0.00,
-0.20320001563,0.00,
-0.20318001563,0.00,
-0.20316000000,0.00,
-0.20314000000,0.20000,
-0.20312001563,0.00,
-0.20310001563,0.00,
-0.20308001563,0.00,
-0.20306001563,-0.20000,
-0.20304000000,0.00,
-0.20302000000,0.00,
-0.20300001563,0.00,
-0.20298001563,0.00,
-0.20296001563,0.00,
-0.20294000000,0.00,
-0.20292000000,0.00,
-0.20290000000,0.00,
-0.20288001563,-0.20000,
-0.20286001563,0.00,
-0.20284000000,0.00,
-0.20282000000,0.00,
-0.20280000000,0.00,
-0.20278001563,0.00,
-0.20276001563,0.00,
-0.20274001563,0.00,
-0.20272000000,0.00,
-0.20270000000,0.00,
-0.20268000000,0.00,
-0.20266001563,-0.20000,
-0.20264001563,-0.20000,
-0.20262000000,0.00,
-0.20260000000,0.00,
-0.20258000000,0.00,
-0.20256000000,0.20000,
-0.20254001563,0.00,
-0.20252001563,-0.20000,
-0.20250000000,0.00,
-0.20248000000,0.00,
-0.20246000000,0.00,
-0.20244001563,0.00,
-0.20242001563,0.00,
-0.20240001563,0.00,
-0.20238000000,0.00,
-0.20236000000,0.00,
-0.20234000000,0.00,
-0.20232001563,0.00,
-0.20230001563,0.00,
-0.20228000000,0.00,
-0.20226000000,0.00,
-0.20224000000,0.00,
-0.20222000000,0.20000,
-0.20220001563,0.00,
-0.20218001563,0.00,
-0.20216000000,-0.20000,
